TIME,TIMER, MOTION,,,,,,,
 12:51:34 PM,0.03,Inactive,,,,,,,
 12:51:35 PM,0.99,Inactive,,,,,,,
 12:51:36 PM,1.99,Inactive,,,,,,,
 12:51:37 PM,2.99,Inactive,,,,,,,
 12:51:38 PM,3.99,Inactive,,,,,,,
 12:51:39 PM,4.99,Inactive,,,,,,,
 12:51:40 PM,5.99,Inactive,,,,,,,
 12:51:41 PM,6.99,Inactive,,,,,,,
 12:51:42 PM,7.99,Inactive,,,,,,,
 12:51:43 PM,8.99,Inactive,,,,,,,
 12:51:44 PM,9.99,Inactive,,,,,,,
 12:51:45 PM,10.99,Inactive,,,,,,,
 12:51:46 PM,11.99,Inactive,,,,,,,
 12:51:47 PM,12.99,Inactive,,,,,,,
 12:51:48 PM,13.99,Inactive,,,,,,,
 12:51:49 PM,14.99,Active!,,,,,,,
 12:51:50 PM,15.99,Active!,,,,,,,
 12:51:51 PM,16.99,Active!,,,,,,,
 12:51:52 PM,17.99,Active!,,,,,,,
 12:51:53 PM,18.99,Inactive,,,,,,,
 12:51:54 PM,19.99,Inactive,,,,,,,
 12:51:55 PM,20.99,Inactive,,,,,,,
 12:51:56 PM,22.00,Inactive,,,,,,,
 12:51:57 PM,22.99,Inactive,,,,,,,
 12:51:58 PM,23.99,Inactive,,,,,,,
 12:51:59 PM,24.99,Inactive,,,,,,,
 12:52:00 PM,25.99,Active!,,,,,,,
 12:52:01 PM,26.99,Active!,,,,,,,
 12:52:02 PM,28.00,Inactive,,,,,,,
 12:52:03 PM,29.00,Inactive,,,,,,,
 12:52:04 PM,29.99,Inactive,,,,,,,
 12:52:05 PM,30.99,Inactive,,,,,,,
 12:52:06 PM,31.99,Inactive,,,,,,,
 12:52:07 PM,32.99,Active!,,,,,,,
 12:52:08 PM,34.00,Active!,,,,,,,
 12:52:09 PM,35.00,Active!,,,,,,,
 12:52:10 PM,36.00,Inactive,,,,,,,
 12:52:11 PM,36.99,Inactive,,,,,,,
 12:52:12 PM,38.00,Inactive,,,,,,,
 12:52:13 PM,39.00,Inactive,,,,,,,
 12:52:14 PM,40.00,Inactive,,,,,,,
 12:52:15 PM,41.00,Inactive,,,,,,,
 12:52:16 PM,42.00,Inactive,,,,,,,
 12:52:17 PM,42.99,Inactive,,,,,,,
 12:52:18 PM,44.00,Inactive,,,,,,,
 12:52:19 PM,45.00,Active!,,,,,,,
 12:52:20 PM,46.00,Active!,,,,,,,
 12:52:21 PM,47.00,Active!,,,,,,,
 12:52:22 PM,48.00,Active!,,,,,,,
 12:52:23 PM,49.00,Inactive,,,,,,,
 12:52:24 PM,50.00,Inactive,,,,,,,
